Date/Time;Open;High;Low;Close;Range (high - low)
14/11/2003;1058.41;1063.65;1048.11;1050.35;15.54
17/11/2003;1050.35;1050.35;1035.28;1043.63;15.07
18/11/2003;1043.63;1048.77;1034;1034.15;14.77
19/11/2003;1034.15;1043.95;1034.15;1042.44;9.80
20/11/2003;1042.44;1046.48;1033.42;1033.65;13.06
21/11/2003;1033.65;1037.57;1031.20;1035.28;6.37
24/11/2003;1035.28;1052.08;1035.28;1052.08;16.80
25/11/2003;1052.08;1058.05;1049.31;1053.89;8.74
26/11/2003;1053.89;1058.45;1048.28;1058.45;10.17
28/11/2003;1058.45;1060.63;1056.77;1058.20;3.86
01/12/2003;1058.20;1070.47;1058.20;1070.12;12.27
02/12/2003;1070.12;1071.22;1065.22;1066.62;6.00
